N,Gaussian_P05,Gaussian_P20,Gaussian_P35,Gaussian_P50,Gaussian_P65,Gaussian_P80,Gaussian_P95,Uniform_P05,Uniform_P20,Uniform_P35,Uniform_P50,Uniform_P65,Uniform_P80,Uniform_P95,AR(1)_P05,AR(1)_P20,AR(1)_P35,AR(1)_P50,AR(1)_P65,AR(1)_P80,AR(1)_P95,Lorentz_P05,Lorentz_P20,Lorentz_P35,Lorentz_P50,Lorentz_P65,Lorentz_P80,Lorentz_P95
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
10,0.871388997478353,1.0618281321804457,1.232826900812557,1.4759955230642463,1.7573720265608241,2.2927732972354478,3.70746430499658,0.901464573200561,1.0608875824628083,1.2293762921297364,1.4546994639951238,1.7745430038351335,2.2830574277049194,3.849805819314306,0.8009142663658988,0.9467859126499008,1.0867630297664272,1.2613981869156228,1.5000942514295519,1.947396333280144,3.4246763266675964,0.6356513368522462,0.7605292520118238,0.840770567648476,0.9106067470073447,1.045288259785443,1.303533467983521,2.284881231920646
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
11,0.9147020863045142,1.1046832332578376,1.3191667270211198,1.5785457594680885,1.9674779674046576,2.4715250642785653,4.0014116815918275,0.9057212231056223,1.1178730777159829,1.336363732227048,1.5831226627868187,1.9731271950435343,2.5510297582812544,4.445344937869295,0.8077391991317345,0.9810869322702921,1.1441219017174526,1.3584740114625586,1.6759846054195613,2.182518353667032,3.9838111195361865,0.5984218172047203,0.7451756842406275,0.841239278044454,0.9319138551668376,1.1067373590583045,1.4088759864665776,2.6647034898140873
